,Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
2253,29,male,84029,doctorate,3,swimming,3892,urban,186,62,spring,1,0,0
52357,26,non-binary,42882,doctorate,0,swimming,1706,rural,20,73,winter,0,0,0
2685,21,male,96222,master,4,sunbathing,3607,rural,165,165,summer,1,0,0
28032,64,female,45851,doctorate,1,skiing,1703,suburban,202,285,winter,1,1,1
30597,38,male,109398,high school,7,skiing,3534,rural,156,103,summer,1,0,0
41082,59,non-binary,37285,bachelor,6,sunbathing,1023,rural,250,25,winter,0,1,0
29654,39,male,101150,bachelor,9,sunbathing,2111,rural,211,136,fall,1,0,0
25659,41,female,115367,high school,3,skiing,1019,urban,262,251,spring,1,1,0
29633,24,non-binary,57144,high school,0,skiing,3535,rural,299,168,winter,1,0,0
5054,67,male,86292,doctorate,7,skiing,1612,urban,293,201,winter,1,0,0
13490,27,non-binary,29070,doctorate,1,hiking,2357,urban,67,217,spring,1,1,1
1849,22,female,103905,bachelor,3,sunbathing,3492,urban,141,143,spring,1,0,0
1118,19,male,56626,bachelor,3,hiking,2296,urban,248,34,winter,1,1,0
513,31,female,67616,master,6,swimming,656,urban,36,163,spring,0,0,0
45139,48,female,79653,bachelor,6,sunbathing,3931,rural,96,219,summer,1,0,0
16402,22,non-binary,102226,doctorate,4,sunbathing,1914,urban,184,9,summer,0,0,0
40547,66,female,116110,high school,5,swimming,2394,suburban,89,289,fall,0,0,0
32458,43,male,68122,bachelor,9,skiing,2050,urban,206,294,winter,0,1,1
37623,68,female,48296,master,7,sunbathing,3786,rural,265,10,winter,1,1,0
30823,54,male,102967,bachelor,8,skiing,1605,rural,268,77,spring,1,0,0
31449,57,non-binary,102316,bachelor,5,swimming,2895,suburban,291,223,winter,0,0,0
29230,60,male,55535,master,3,sunbathing,3274,suburban,68,143,winter,1,0,0
13058,66,non-binary,63092,high school,9,swimming,1185,suburban,29,48,winter,1,0,0
23549,67,female,73825,master,9,swimming,4327,urban,179,81,spring,1,0,0
47805,20,non-binary,33987,master,1,swimming,1579,rural,147,131,summer,0,0,0
23431,59,non-binary,96473,doctorate,1,swimming,2928,urban,107,170,fall,1,1,0
22646,69,female,63695,bachelor,6,hiking,2898,urban,24,14,summer,1,0,0
35952,51,non-binary,95121,doctorate,2,sunbathing,2583,suburban,137,291,summer,0,1,0
31924,60,non-binary,61683,master,5,sunbathing,4759,rural,38,256,spring,0,0,0
31267,50,male,77914,master,4,hiking,1814,rural,78,248,spring,1,0,1
39267,49,non-binary,72904,doctorate,4,hiking,4929,urban,176,292,winter,0,0,1
7281,62,female,21662,high school,0,hiking,958,urban,57,40,winter,0,1,0
9483,43,male,116662,bachelor,0,swimming,2060,urban,31,162,spring,0,0,0
29795,41,male,37326,high school,4,swimming,3080,rural,241,106,fall,1,0,0
46515,45,non-binary,110007,high school,8,sunbathing,4416,urban,83,222,summer,1,1,0
29471,21,non-binary,45258,master,0,swimming,878,suburban,69,106,summer,0,0,0
6603,19,female,69255,doctorate,5,swimming,3537,urban,241,257,spring,0,0,0
14015,33,female,107702,master,5,swimming,550,suburban,18,252,summer,1,1,0
36136,64,male,87493,high school,0,sunbathing,3646,urban,242,139,fall,0,0,0
3045,36,female,69797,bachelor,2,skiing,1767,rural,183,289,spring,1,0,1
45401,25,male,90115,high school,2,sunbathing,1660,urban,32,103,winter,1,1,0
10066,48,female,72483,master,0,hiking,4831,rural,55,47,winter,0,0,0
46889,33,non-binary,30205,master,4,hiking,1184,suburban,53,110,summer,0,0,1
27296,66,female,82762,high school,4,sunbathing,4859,rural,149,124,winter,1,0,0
40732,67,non-binary,54598,high school,3,hiking,3245,suburban,0,215,spring,1,1,1
30761,46,non-binary,49521,high school,7,skiing,1273,urban,93,56,spring,1,0,0
41423,35,male,46012,master,6,sunbathing,1040,urban,22,162,fall,0,1,0
23008,55,non-binary,85673,doctorate,8,swimming,2302,rural,150,10,fall,1,0,0
42186,61,female,70096,bachelor,2,skiing,4780,suburban,214,248,winter,0,1,1
22041,23,male,85414,high school,1,sunbathing,1964,suburban,144,144,spring,0,0,0
40832,40,male,24276,bachelor,6,sunbathing,923,urban,67,211,summer,0,1,0
24791,67,female,37758,bachelor,3,sunbathing,4420,suburban,164,217,winter,0,1,0
15146,65,male,79578,bachelor,7,sunbathing,4258,rural,10,228,spring,0,0,0
18983,51,male,58785,bachelor,5,skiing,4791,rural,264,5,fall,1,1,0
19630,25,female,69380,doctorate,8,sunbathing,1505,urban,126,47,fall,0,0,0
46441,64,female,100313,high school,3,hiking,3605,rural,258,29,summer,1,0,0
9852,62,male,67342,master,8,skiing,3147,urban,149,130,winter,1,1,0
15600,23,female,44178,high school,7,hiking,1398,suburban,26,188,summer,0,0,1
3894,18,non-binary,98669,high school,9,sunbathing,3199,suburban,140,57,spring,0,0,0
20297,48,female,41062,bachelor,7,skiing,4709,urban,186,69,spring,0,1,0
5853,25,non-binary,41262,high school,7,hiking,3483,suburban,235,123,winter,0,0,0
23801,19,non-binary,33004,bachelor,1,skiing,774,suburban,287,297,winter,0,1,1
1306,27,non-binary,100337,doctorate,2,skiing,2500,urban,94,240,spring,0,1,1
12160,59,female,84112,doctorate,6,swimming,2039,urban,212,128,winter,1,1,0
10901,26,female,48559,master,1,swimming,4625,suburban,203,21,winter,0,0,0
30432,67,non-binary,58072,master,0,sunbathing,2300,rural,236,247,fall,1,0,0
16148,45,male,21871,high school,4,hiking,4512,rural,60,156,spring,0,1,1
21538,68,female,58280,high school,1,skiing,4765,urban,152,92,spring,0,1,0
1731,23,male,100058,master,7,sunbathing,2106,suburban,74,191,spring,1,0,0
33177,39,male,95289,high school,0,swimming,1298,urban,42,278,spring,0,1,0
30552,59,non-binary,46923,bachelor,6,swimming,3994,suburban,96,298,winter,1,0,0
39233,18,female,69672,doctorate,8,swimming,3433,rural,126,151,fall,0,0,0
2143,45,male,81805,bachelor,8,skiing,3661,suburban,60,271,summer,0,1,1
28305,56,non-binary,29106,bachelor,8,swimming,2001,rural,48,164,spring,0,1,0
22795,22,non-binary,33997,bachelor,3,swimming,3989,urban,83,137,spring,0,1,0
8398,67,non-binary,64993,bachelor,3,swimming,810,suburban,229,155,winter,0,0,0
41965,61,female,53784,doctorate,9,swimming,4779,urban,92,112,fall,1,1,0
29352,32,non-binary,72001,master,8,skiing,4656,urban,7,56,winter,0,0,1
46400,20,male,62092,doctorate,9,sunbathing,1955,urban,140,216,fall,1,0,0
33021,48,female,110258,master,4,swimming,1993,suburban,92,118,spring,1,0,0
49633,34,non-binary,21219,bachelor,9,skiing,715,urban,268,131,summer,0,1,0
43118,22,female,111982,high school,9,hiking,613,urban,137,255,summer,0,0,1
37091,50,non-binary,31406,doctorate,8,hiking,4467,suburban,88,63,fall,0,0,0
2806,46,non-binary,102246,doctorate,2,swimming,2474,rural,137,9,winter,1,0,0
5459,38,male,21978,high school,3,skiing,1159,urban,243,15,spring,1,0,0
13973,28,non-binary,97730,master,1,swimming,4972,suburban,177,88,winter,0,1,0
50927,50,male,113780,high school,1,hiking,4001,rural,163,253,summer,0,0,1
15725,38,female,70194,doctorate,8,swimming,2154,suburban,87,173,summer,1,0,0
49112,60,non-binary,28247,master,7,swimming,2401,rural,225,137,fall,1,1,0
25854,42,non-binary,97620,high school,2,sunbathing,4490,suburban,276,77,fall,0,1,0
1088,43,male,68587,doctorate,7,hiking,4369,rural,80,266,summer,1,1,1
23592,62,female,27940,bachelor,1,swimming,3243,rural,233,54,fall,1,1,0
6801,66,female,50122,high school,2,hiking,1130,suburban,55,60,winter,0,1,1
35660,32,female,38610,bachelor,9,swimming,2088,suburban,294,129,fall,0,1,0
10164,67,female,27617,master,0,hiking,814,urban,183,274,summer,1,0,1
36102,43,female,63305,master,1,skiing,1637,rural,11,145,summer,1,1,1
25798,31,male,88196,master,4,sunbathing,2597,rural,214,136,fall,1,1,0
22297,60,non-binary,87153,doctorate,8,sunbathing,3067,rural,89,212,summer,1,1,0
21711,57,female,39953,doctorate,8,hiking,3739,rural,108,83,spring,0,0,0
35137,69,female,107765,master,1,hiking,1180,urban,66,123,summer,1,0,1
20841,39,female,62891,doctorate,8,hiking,1974,rural,168,268,summer,1,1,1
3509,51,male,98806,doctorate,6,hiking,943,rural,115,269,fall,0,1,1
8626,29,non-binary,51953,master,0,skiing,2371,urban,187,232,spring,0,1,1
51516,37,male,60312,bachelor,8,sunbathing,2456,suburban,29,174,winter,1,1,0
28397,69,male,85840,bachelor,4,sunbathing,2222,rural,293,265,fall,1,0,0
43082,66,male,73832,doctorate,6,swimming,2026,urban,158,271,winter,0,0,0
27450,46,non-binary,83004,master,3,sunbathing,1562,urban,168,134,fall,1,1,0
42329,31,male,20487,bachelor,7,skiing,4979,suburban,274,160,spring,0,1,0
20154,41,female,99872,high school,4,swimming,1870,suburban,23,203,summer,1,0,0
610,65,female,53387,doctorate,2,skiing,4567,urban,264,127,fall,0,1,0
43399,30,non-binary,76006,doctorate,7,sunbathing,3223,urban,291,150,summer,1,0,0
34390,32,female,52059,doctorate,4,swimming,3669,urban,195,86,spring,1,0,0
29913,19,non-binary,21083,master,4,swimming,2488,rural,83,126,fall,1,0,0
43174,20,non-binary,108393,doctorate,9,skiing,3349,urban,281,50,winter,1,1,0
10555,60,male,75004,doctorate,9,sunbathing,4280,rural,108,169,summer,1,1,0
47054,25,male,58036,master,7,hiking,621,urban,134,217,fall,1,1,1
26994,34,female,94883,doctorate,2,skiing,4044,rural,55,293,winter,1,1,1
15709,29,female,23570,high school,3,skiing,3855,suburban,57,244,summer,1,1,1
50445,64,female,113671,master,0,swimming,1344,rural,273,191,fall,0,1,0
7517,69,non-binary,48250,doctorate,9,sunbathing,949,rural,148,165,spring,1,0,0
12660,51,male,112033,bachelor,5,skiing,640,rural,289,244,fall,0,1,0
17812,36,female,45029,doctorate,7,skiing,1330,suburban,241,158,fall,0,1,0
26129,43,non-binary,72369,doctorate,8,sunbathing,1535,urban,96,279,fall,1,1,0
42340,19,non-binary,58816,bachelor,1,swimming,3546,rural,118,110,spring,1,1,0
5886,32,female,37295,bachelor,8,sunbathing,1794,rural,226,243,winter,1,0,0
9218,68,male,94084,master,1,swimming,743,suburban,275,295,summer,0,1,0
27996,63,non-binary,84831,bachelor,4,skiing,3060,urban,264,36,winter,0,1,0
15790,34,non-binary,102107,master,4,swimming,701,suburban,59,58,summer,1,1,0
14271,28,female,116631,doctorate,6,swimming,1313,suburban,65,37,fall,1,0,0
21213,30,female,119982,doctorate,9,sunbathing,2964,urban,42,12,winter,0,0,0
30643,62,non-binary,40114,high school,5,hiking,2255,urban,96,35,winter,0,0,0
39213,46,male,48202,bachelor,9,sunbathing,3018,urban,45,6,winter,0,1,0
23496,69,non-binary,26478,bachelor,4,skiing,2783,urban,86,29,fall,0,0,0
18717,26,non-binary,36269,doctorate,1,swimming,3940,urban,175,163,winter,1,0,0
7186,33,female,27948,bachelor,1,hiking,2241,rural,290,32,winter,1,1,0
30961,62,female,77952,doctorate,8,sunbathing,4256,rural,126,45,fall,0,1,0
50783,63,female,22649,doctorate,2,sunbathing,1686,urban,297,187,spring,0,0,0
2529,53,non-binary,21489,high school,2,sunbathing,1326,rural,161,179,spring,0,0,0
17112,55,non-binary,66991,high school,3,skiing,1161,suburban,280,200,summer,1,0,0
47934,26,male,101732,doctorate,0,hiking,4506,urban,120,188,spring,0,0,1
4298,33,female,38830,master,1,hiking,4038,suburban,12,202,winter,0,1,1
726,18,non-binary,92300,bachelor,9,swimming,2954,suburban,8,95,spring,1,1,0
39369,29,female,62618,high school,1,sunbathing,4270,suburban,7,294,fall,0,0,0
11238,30,non-binary,45797,bachelor,6,sunbathing,4344,urban,67,258,fall,0,0,0
42418,28,female,104724,high school,6,sunbathing,4458,suburban,211,186,fall,0,0,0
29558,28,non-binary,38979,bachelor,6,sunbathing,1139,urban,42,239,spring,0,1,0
46087,34,female,102534,high school,1,skiing,966,suburban,130,127,spring,0,1,0
31966,27,male,25884,high school,7,sunbathing,2844,rural,143,162,winter,0,0,0
20871,51,male,114057,doctorate,6,sunbathing,4084,suburban,37,234,spring,0,0,0
28489,34,non-binary,81659,bachelor,6,hiking,2185,urban,130,190,winter,1,1,1
4819,31,male,25560,bachelor,6,skiing,2422,suburban,224,96,summer,1,0,0
12025,54,female,31188,master,8,swimming,2319,urban,158,13,summer,1,1,0
38036,20,male,34747,high school,5,swimming,4023,suburban,167,104,fall,1,1,0
46647,45,female,82666,high school,1,skiing,802,urban,235,32,spring,1,1,0
27499,19,female,34277,doctorate,0,skiing,1381,rural,252,149,fall,1,0,0
11728,18,male,27731,doctorate,3,sunbathing,2538,urban,189,207,summer,1,1,0
3184,67,female,43015,high school,4,swimming,2714,urban,277,115,winter,1,0,0
16407,31,female,72208,master,8,sunbathing,4869,urban,270,146,fall,1,1,0
30233,65,female,47871,doctorate,4,hiking,2017,urban,209,7,spring,1,0,0
47315,40,non-binary,90535,master,8,sunbathing,2393,rural,148,213,fall,1,1,0
4054,25,non-binary,84003,bachelor,3,sunbathing,2850,suburban,271,92,fall,0,0,0
5453,45,male,97895,high school,1,swimming,2222,suburban,75,220,spring,1,1,0
12500,49,non-binary,67546,high school,3,skiing,1051,rural,88,97,fall,0,1,1
29219,69,male,22333,bachelor,7,skiing,1354,rural,53,199,winter,0,1,1
19658,28,female,82528,master,5,swimming,2481,urban,246,135,summer,1,1,0
25395,35,female,95103,high school,4,sunbathing,1948,suburban,291,78,winter,0,1,0
10378,22,non-binary,47755,doctorate,2,skiing,4976,urban,80,113,winter,1,0,1
40824,32,male,43268,bachelor,3,hiking,2080,rural,60,100,summer,0,0,1
25251,46,female,91576,bachelor,9,hiking,4036,suburban,116,13,fall,0,1,0
38254,29,non-binary,88720,high school,4,hiking,1554,suburban,14,12,spring,1,0,0
42350,46,male,52906,master,3,sunbathing,2982,suburban,292,70,spring,1,1,0
38954,65,non-binary,105632,doctorate,7,hiking,2294,suburban,265,284,winter,0,0,1
50604,47,female,110648,bachelor,6,hiking,1675,rural,167,3,winter,0,1,0
30395,45,male,56673,doctorate,6,sunbathing,1270,rural,172,239,summer,1,1,0
17229,33,female,76592,master,9,sunbathing,2733,urban,175,138,summer,0,0,0
38745,58,non-binary,87283,bachelor,4,skiing,1156,rural,105,240,fall,0,0,1
34736,61,female,75789,doctorate,9,hiking,1327,urban,248,17,fall,1,0,0
9268,58,male,91126,bachelor,2,skiing,3199,rural,78,159,winter,1,0,1
30073,46,non-binary,69565,doctorate,2,hiking,728,suburban,161,96,spring,1,0,0
40873,35,female,64663,master,9,hiking,4012,suburban,58,128,spring,1,1,1
43627,19,male,36696,master,8,hiking,3758,urban,278,9,winter,1,1,0
45350,67,female,102280,doctorate,1,sunbathing,1339,suburban,87,32,fall,0,0,0
8480,34,male,25712,doctorate,9,skiing,4500,rural,161,227,spring,1,0,1
957,43,male,82525,high school,6,skiing,4871,urban,237,19,summer,0,1,0
15552,43,non-binary,42206,doctorate,6,hiking,2594,rural,98,160,fall,1,1,1
20930,27,female,112454,high school,0,sunbathing,898,urban,74,271,summer,1,1,0
722,45,female,97294,master,5,sunbathing,1832,suburban,283,235,winter,0,0,0
49660,26,non-binary,56467,master,5,swimming,898,suburban,199,57,summer,0,1,0
21383,20,female,55352,master,9,sunbathing,3304,urban,246,203,summer,1,0,0
41586,38,non-binary,81493,master,2,hiking,1088,urban,118,193,summer,0,1,1
40046,42,non-binary,69761,doctorate,2,skiing,2188,suburban,240,275,winter,1,1,1
32417,52,male,85810,doctorate,9,swimming,1247,urban,155,160,fall,0,0,0
20143,22,male,42149,bachelor,2,sunbathing,3464,urban,252,261,spring,1,0,0
28117,42,female,101164,high school,1,sunbathing,1455,suburban,90,182,winter,1,1,0
23014,53,non-binary,54453,bachelor,8,swimming,4906,rural,44,231,winter,1,1,0
52172,45,male,46489,bachelor,0,hiking,3915,urban,193,193,spring,0,0,0
4364,45,male,49770,high school,4,sunbathing,1202,suburban,158,297,summer,0,1,0
16732,37,male,97227,master,0,swimming,4459,rural,269,83,fall,0,1,0
36000,35,non-binary,64153,high school,6,sunbathing,3530,rural,215,5,summer,1,0,0
23832,53,male,90584,master,2,skiing,1716,suburban,289,231,fall,1,1,0
38838,26,male,40289,doctorate,2,hiking,737,suburban,221,116,summer,1,0,0
47355,59,non-binary,118288,bachelor,7,swimming,3295,suburban,9,211,winter,0,1,0
13129,34,non-binary,90961,master,7,hiking,3192,rural,257,107,summer,1,1,0
26942,52,male,80120,doctorate,2,sunbathing,4516,suburban,23,118,spring,1,1,0
20815,25,female,77756,doctorate,7,hiking,2843,urban,45,244,summer,1,0,1
28886,29,female,93641,bachelor,2,skiing,2143,suburban,170,178,winter,0,0,1
30362,52,male,23698,master,4,hiking,4015,urban,81,109,summer,0,0,1
41906,24,female,20930,master,6,skiing,1304,suburban,259,27,summer,0,0,0
34503,65,male,53068,high school,3,swimming,1905,urban,173,251,summer,0,0,0
27147,40,male,73372,master,5,hiking,1214,urban,175,199,fall,0,0,1
7534,32,female,110701,bachelor,3,skiing,1703,urban,199,205,summer,1,0,1
51416,63,female,115818,doctorate,6,hiking,3279,rural,292,117,fall,1,0,0
9671,43,non-binary,92144,high school,2,hiking,2131,rural,271,80,winter,1,1,0
34779,20,non-binary,53847,bachelor,5,sunbathing,2109,suburban,114,145,winter,0,0,0
20742,24,female,26802,bachelor,4,sunbathing,3052,rural,110,153,spring,0,1,0
7241,43,female,69698,bachelor,4,swimming,1128,urban,32,55,spring,0,1,0
28462,21,female,23484,doctorate,4,hiking,2533,urban,209,208,spring,0,0,0
15840,19,male,73416,high school,4,sunbathing,2159,rural,232,268,summer,1,1,0
33972,33,female,79258,doctorate,0,skiing,4085,suburban,171,237,spring,1,0,1
4858,67,male,45824,master,8,swimming,3299,suburban,238,85,spring,0,0,0
12372,19,non-binary,25573,doctorate,8,hiking,3109,urban,28,211,fall,0,0,1
10064,20,non-binary,96758,high school,5,sunbathing,1407,suburban,236,262,spring,1,0,0
42777,34,male,44124,master,2,swimming,4040,suburban,244,30,summer,0,1,0
36441,36,female,47769,master,0,swimming,4567,suburban,244,240,winter,0,0,0
19129,21,female,79804,doctorate,3,sunbathing,4450,suburban,53,211,winter,1,0,0
17610,36,non-binary,112737,doctorate,9,sunbathing,3643,suburban,172,7,winter,1,1,0
22907,52,male,30077,doctorate,9,hiking,859,urban,240,120,fall,0,0,0
7375,56,non-binary,96111,doctorate,4,sunbathing,2352,rural,95,51,fall,1,0,0
3843,55,male,58697,high school,5,sunbathing,4632,rural,172,200,spring,0,0,0
51826,68,male,95108,high school,9,skiing,1369,rural,286,248,fall,1,1,0
43715,18,non-binary,97873,bachelor,6,swimming,1076,rural,248,168,summer,0,0,0
25344,23,female,27997,master,3,swimming,787,urban,215,150,summer,1,0,0
41040,49,male,45290,doctorate,5,swimming,4014,rural,13,198,spring,0,0,0
2170,51,male,70374,doctorate,5,swimming,3194,rural,282,61,spring,0,1,0
29697,27,male,27576,bachelor,2,hiking,838,urban,231,220,winter,1,0,0
40938,36,female,50509,high school,8,skiing,998,rural,12,282,summer,1,0,1
20244,33,female,87028,master,5,skiing,4871,urban,72,172,fall,0,0,1
37696,67,female,26251,master,5,hiking,2757,urban,87,294,winter,1,1,1
47848,60,female,84177,doctorate,2,hiking,1098,urban,2,108,summer,1,1,1
44523,28,non-binary,41077,bachelor,8,skiing,3881,urban,239,14,spring,0,1,0
17290,42,non-binary,54664,bachelor,1,swimming,1276,suburban,153,66,fall,0,0,0
37014,46,male,20125,high school,3,skiing,2953,rural,175,108,winter,1,0,0
1288,28,female,62100,bachelor,7,skiing,2513,rural,286,270,spring,1,1,0
2058,57,male,28141,high school,4,skiing,1239,suburban,259,105,spring,0,0,0
37799,33,female,52005,doctorate,9,skiing,1597,suburban,170,168,summer,1,1,0
25158,64,non-binary,96322,doctorate,5,sunbathing,677,suburban,37,90,winter,0,1,0
12516,25,female,116095,high school,1,swimming,1026,suburban,236,250,spring,1,0,0
9848,57,female,28515,bachelor,7,hiking,1168,urban,27,117,fall,1,1,1
32912,49,male,22025,master,6,swimming,2676,rural,237,294,summer,0,1,0
6756,30,male,109331,doctorate,7,sunbathing,1987,urban,47,214,summer,0,0,0
34703,21,non-binary,36848,bachelor,5,skiing,3610,urban,120,159,winter,0,0,1
36188,40,non-binary,106895,high school,4,swimming,2016,rural,206,73,summer,0,0,0
42445,20,female,107728,high school,7,swimming,3480,urban,36,153,winter,1,1,0
2142,20,female,80844,high school,4,skiing,3059,rural,265,159,fall,1,1,0
29076,59,female,117562,master,8,hiking,1403,suburban,130,61,summer,0,1,0
52354,36,non-binary,102098,bachelor,8,sunbathing,4070,urban,87,95,winter,1,0,0
48027,51,male,30711,doctorate,4,skiing,3949,rural,80,205,fall,1,1,1
29222,42,female,117796,master,3,hiking,3120,urban,57,10,fall,0,1,0
22719,29,female,26692,bachelor,5,hiking,1944,urban,65,155,winter,0,1,1
41154,57,non-binary,24503,master,7,sunbathing,4801,rural,164,167,fall,0,0,0
24959,36,female,90033,doctorate,3,skiing,4816,rural,50,267,summer,1,1,1
1659,54,male,71135,bachelor,8,sunbathing,2606,suburban,165,228,spring,0,1,0
5525,38,male,108077,bachelor,6,sunbathing,2730,suburban,124,204,winter,1,0,0
51096,24,female,42771,doctorate,0,skiing,1762,suburban,231,18,spring,1,0,0
34589,31,male,20806,bachelor,0,swimming,4107,suburban,32,168,summer,1,0,0
441,32,male,102628,bachelor,4,sunbathing,1009,rural,263,293,spring,1,0,0
24275,20,non-binary,80576,master,5,sunbathing,3947,rural,14,234,fall,0,0,0
46157,20,non-binary,44388,bachelor,6,skiing,1559,suburban,89,2,fall,0,1,0
40152,19,non-binary,97076,bachelor,4,swimming,1568,urban,248,86,spring,0,1,0
51550,43,male,66143,high school,7,skiing,4408,suburban,204,137,fall,0,1,0
38735,49,male,55118,master,3,hiking,4549,suburban,168,53,fall,1,0,0
10800,46,non-binary,55933,master,6,swimming,4745,rural,193,216,fall,1,0,0
50859,18,male,92847,doctorate,8,sunbathing,4442,urban,127,281,fall,1,0,0
26950,23,non-binary,79368,bachelor,0,swimming,4537,urban,113,105,winter,1,1,0
5643,26,non-binary,81448,doctorate,6,sunbathing,3167,suburban,106,229,fall,0,0,0
3319,22,non-binary,30290,high school,4,sunbathing,3332,suburban,198,247,summer,0,0,0
19670,36,male,65608,high school,6,skiing,2458,rural,146,198,spring,1,1,1
18309,57,non-binary,82748,high school,6,hiking,2015,suburban,1,54,fall,1,1,1
41053,23,male,32020,master,3,sunbathing,2225,suburban,253,109,winter,0,0,0
35656,60,female,25196,high school,7,skiing,2995,suburban,242,162,summer,1,1,0
37099,63,non-binary,32338,bachelor,6,hiking,2696,suburban,150,270,summer,0,0,1
12527,25,female,113918,doctorate,9,hiking,4972,rural,297,186,summer,1,0,0
13560,41,male,67305,doctorate,8,swimming,4078,urban,113,77,winter,1,0,0
32496,54,male,58049,master,3,skiing,3676,rural,272,178,winter,0,0,0
26778,26,male,35111,bachelor,7,skiing,3484,suburban,218,38,winter,0,0,0
45227,34,female,76299,high school,9,hiking,4248,urban,218,30,summer,0,0,0
15852,31,male,83468,bachelor,9,swimming,1735,rural,18,293,summer,0,1,0
14993,54,non-binary,84985,master,1,swimming,4209,urban,228,166,summer,1,1,0
22239,26,female,53962,bachelor,7,skiing,4530,rural,107,182,fall,0,1,1
41993,44,male,21508,doctorate,9,skiing,2134,urban,200,39,spring,1,1,0
8703,56,female,101856,master,9,hiking,3385,suburban,195,217,spring,0,1,1
586,46,non-binary,111674,bachelor,3,sunbathing,2465,rural,182,129,summer,1,0,0
23389,24,non-binary,111153,high school,3,skiing,4429,rural,45,235,summer,1,1,1
11158,42,male,81144,doctorate,8,swimming,4981,suburban,24,13,summer,1,1,0
9480,30,female,95611,doctorate,5,sunbathing,1060,rural,45,215,summer,1,0,0
37755,69,male,94904,doctorate,8,hiking,2579,rural,273,210,spring,1,1,0
37969,59,non-binary,106936,bachelor,1,sunbathing,1635,rural,185,100,summer,1,1,0
19261,21,male,92158,high school,6,hiking,1729,rural,91,94,summer,0,1,1
26162,42,female,64758,bachelor,4,hiking,798,suburban,166,267,spring,0,1,1
50562,48,male,73909,doctorate,0,hiking,2659,rural,47,233,spring,1,0,1
43732,24,female,85012,bachelor,6,hiking,4992,rural,37,177,fall,0,0,1
25550,47,non-binary,25385,high school,9,hiking,2862,rural,145,236,winter,0,1,1
26436,64,female,24166,doctorate,1,skiing,3795,rural,298,118,fall,1,0,0
10590,63,male,78748,master,6,swimming,1257,rural,69,237,spring,0,1,0
35863,32,male,119296,master,4,sunbathing,2898,urban,147,158,summer,1,0,0
42341,26,non-binary,78070,bachelor,0,skiing,503,suburban,248,112,spring,0,0,0
47309,41,male,69487,high school,2,hiking,987,urban,34,230,summer,0,1,1
25324,47,female,38528,high school,3,swimming,1417,rural,281,160,fall,0,1,0
13217,57,non-binary,76225,bachelor,8,sunbathing,1296,suburban,21,232,spring,1,0,0
29207,26,female,98257,high school,4,swimming,1447,urban,120,92,summer,1,0,0
3890,65,male,82012,high school,9,skiing,1933,suburban,226,291,fall,0,0,1
34855,22,non-binary,44396,bachelor,3,swimming,2588,urban,86,285,summer,1,0,0
45065,50,female,87873,bachelor,0,skiing,926,rural,265,109,fall,1,0,0
9008,23,female,35745,high school,7,swimming,3610,rural,103,104,summer,0,0,0
52150,64,non-binary,85490,bachelor,8,sunbathing,3181,suburban,65,36,winter,1,1,0
14527,46,non-binary,41815,bachelor,0,skiing,2759,rural,193,22,summer,0,1,0
6409,33,female,51353,bachelor,4,hiking,3658,rural,2,58,summer,0,1,1
36281,56,male,28962,bachelor,1,hiking,2513,urban,146,6,spring,0,1,0
23914,35,male,55167,doctorate,7,sunbathing,3332,suburban,241,257,winter,0,0,0
31144,32,female,20081,doctorate,6,swimming,2480,rural,224,9,spring,0,1,0
41771,36,female,101574,doctorate,2,hiking,1181,urban,114,156,winter,1,1,1
36565,29,male,80538,doctorate,8,hiking,2801,rural,91,53,fall,1,0,0
13775,38,non-binary,27679,high school,7,skiing,4513,urban,97,126,summer,0,0,1
40501,31,non-binary,81361,high school,3,hiking,2322,rural,9,92,fall,1,0,1
44761,44,non-binary,93883,doctorate,6,hiking,2997,suburban,172,74,summer,0,0,0
27677,18,male,27867,doctorate,0,swimming,883,suburban,113,40,fall,1,1,0
32488,69,male,36967,doctorate,7,hiking,1871,urban,119,261,fall,1,0,1
41014,54,male,89381,doctorate,4,skiing,4011,urban,52,225,fall,0,0,1
48779,60,male,63976,master,1,sunbathing,1115,rural,274,260,summer,1,0,0
38292,25,female,72486,high school,7,hiking,4074,suburban,38,21,spring,0,0,0
26049,22,female,49753,high school,9,skiing,965,urban,273,100,winter,1,0,0
6307,30,female,22079,master,7,swimming,4264,rural,137,210,winter,1,0,0
5249,30,non-binary,110696,bachelor,6,hiking,2435,urban,27,69,fall,1,1,1
11834,37,female,102907,doctorate,5,skiing,4930,rural,161,172,winter,0,0,1
51997,58,non-binary,94151,master,2,swimming,3532,rural,202,252,winter,0,1,0
22710,44,female,109067,high school,9,sunbathing,2175,urban,202,162,spring,0,0,0
45090,65,male,89714,high school,3,hiking,697,suburban,96,109,fall,0,0,1
20766,20,non-binary,32471,master,8,hiking,2360,rural,93,266,winter,1,0,1
26987,20,male,73557,doctorate,4,hiking,876,rural,139,214,fall,0,1,1
765,25,female,64044,bachelor,1,sunbathing,4569,rural,28,169,summer,0,1,0
11711,32,non-binary,87617,bachelor,0,hiking,4391,rural,237,268,spring,1,1,1
19746,30,female,36276,high school,9,skiing,1057,suburban,181,26,winter,1,0,0
